Artist,Track,msPlayed,Name
"Khalid","Vertigo",48572,"Elena"
"U2","Vertigo",490,"Elena"
"U2","Miracle Drug",234013,"Elena"
"U2","City Of Blinding Lights",3050,"Elena"
"U2","Sometimes You Can't Make It On Your Own",305080,"Elena"
"U2","A Man And A Woman",2304,"Elena"
"U2","Love And Peace Or Else",20565,"Elena"
"U2","All Because Of You",2389,"Elena"
"U2","Crumbs From Your Table",299186,"Elena"
"U2","One Step Closer",228440,"Elena"
"U2","Original Of The Species",274120,"Elena"
"U2","Yahweh",261573,"Elena"
"U2","Fast Cars",223000,"Elena"
"U2","Love Is All We Have Left",161200,"Elena"
"U2","Lights Of Home",256893,"Elena"
"U2","You’re The Best Thing About Me",225400,"Elena"
"U2","American Soul",7813,"Elena"
"U2","Get Out Of Your Own Way",238293,"Elena"
"U2","Summer Of Love",204066,"Elena"
"U2","Red Flag Day",199706,"Elena"
"U2","The Showman (Little More Better)",203786,"Elena"
"U2","The Little Things That Give You Away",295426,"Elena"
"U2","Landlady",241400,"Elena"
"U2","The Blackout",285933,"Elena"
"U2","Love Is Bigger Than Anything In Its Way",240600,"Elena"
"U2","13 (There is A Light)",259746,"Elena"
"U2","Ordinary Love - Extraordinary Mix",227173,"Elena"
"U2","Book Of Your Heart",235386,"Elena"
"U2","Lights Of Home - St Peter's String Version",180618,"Elena"
"Belle & Sebastian","Nobody's Empire",310328,"Elena"
"Belle & Sebastian","Allie",196475,"Elena"
"Belle & Sebastian","The Party Line",254115,"Elena"
"Belle & Sebastian","The Power Of Three",237368,"Elena"
"Belle & Sebastian","The Cat With The Cream",317555,"Elena"
"Belle & Sebastian","Enter Sylvia Plath",408608,"Elena"
"Belle & Sebastian","The Everlasting Muse",325275,"Elena"
"Belle & Sebastian","Perfect Couples",329662,"Elena"
"Belle & Sebastian","Ever Had A Little Faith?",124693,"Elena"
"alt-J","3WW",3050,"Elena"
"Bon Iver","Yi",31546,"Elena"
"Bon Iver","iMi",196360,"Elena"
"Bon Iver","We",142880,"Elena"
"Bon Iver","Holyfields,",187533,"Elena"
"Bon Iver","Hey, Ma",216706,"Elena"
"Bon Iver","U (Man Like)",145720,"Elena"
"Bon Iver","Naeem",262266,"Elena"
"Bon Iver","Jelmore",150080,"Elena"
"Bon Iver","Faith",217946,"Elena"
"Bon Iver","Marion",141666,"Elena"
"Bon Iver","Salem",224706,"Elena"
"Bon Iver","Sh'Diah",226160,"Elena"
"Extremoduro","Si te vas...",516666,"Elena"
"Kasabian","You're in Love with a Psycho",218080,"Elena"
"Elton John","Your Song",240800,"Elena"
"Kings of Convenience","I'd Rather Dance With You",209026,"Elena"
"Pink Floyd","Shine On You Crazy Diamond (Pts. 1-5)",28488,"Elena"
"The West Coast Pop Art Experimental Band","I Won't Hurt You",144440,"Elena"
"Lindstrøm","Lovesick",2303,"Elena"
"Damien Rice","Colour Me In",318022,"Elena"
"Barry White","Never, Never Gonna Give Ya Up - Single Version",7364,"Elena"
"Pink Floyd","The Final Cut",282602,"Elena"
"Keane","Somewhere Only We Know",237146,"Elena"
"The National","Dark Side of the Gym",290093,"Elena"
"Maggie Rogers","Love You For A Long Time",223120,"Elena"
"Adele","Make You Feel My Love",212040,"Elena"
"Bob Dylan","Don't Think Twice, It's All Right",217400,"Elena"
"Duke Dumont","Ocean Drive",206320,"Elena"
"Swim Deep","Intro",74760,"Elena"
"The Lumineers","Ophelia",160097,"Elena"
"Alvvays","Dreams Tonite",196026,"Elena"
"The Beatles","Eight Days A Week - Remastered 2015",163320,"Elena"
"Grizfolk","Waiting For You",237853,"Elena"
"Camilo","Tutu",178613,"Elena"
"Editors","An End Has a Start",225533,"Elena"
"The Kooks","She Moves In Her Own Way",3421,"Elena"
"Cosmo","Quando ho incontrato te",242253,"Elena"
"The Lumineers","Flowers In Your Hair",110560,"Elena"
"Swim Deep","She Changes the Weather",275426,"Elena"
"Angus & Julia Stone","Bella",248680,"Elena"
"The Japanese House","Follow My Girl",244686,"Elena"
"Mumford & Sons","Hopeless Wanderer",307853,"Elena"
"Calcutta ","Cosa mi manchi a fare",169306,"Elena"
"Lindstrøm","On A Clear Day I Can See You Forever",460135,"Elena"
"Extremoduro","Si te vas...",516666,"Elena"
"Arctic Monkeys","R U Mine?",201726,"Elena"
"lemandorle","Ti amo il venerdì sera",230178,"Elena"
"Pink Floyd","Shine On You Crazy Diamond (Pts. 6-9)",747325,"Elena"
"Coez","La tua canzone",192040,"Elena"
"The Cure","Lovesong - Remastered",208266,"Elena"
"Michael Kiwanuka","Bones",225918,"Elena"
"Mario Biondi","I Chose You",138,"Elena"
"Ex:Re","Where The Time Went",250894,"Elena"
"Ex:Re","Crushing",248452,"Elena"
"Ex:Re","New York",319608,"Elena"
"Ex:Re","Romance",403469,"Elena"
"Ex:Re","The Dazzler",281567,"Elena"
"Ex:Re","Too Sad",327540,"Elena"
"Ex:Re","Liar",294056,"Elena"
"Ex:Re","I Can't Keep You",257367,"Elena"
"Ex:Re","5AM",204490,"Elena"
"Ex:Re","My Heart",277431,"Elena"
