endTime,msPlayed,name
"2020-01-23 16:55",221773,"Jana"
"2020-01-23 16:59",250106,"Jana"
"2020-01-23 17:04",248040,"Jana"
"2020-01-23 17:05",66874,"Jana"
"2020-01-23 17:06",24810,"Jana"
"2020-01-23 17:06",54922,"Jana"
"2020-01-23 17:09",183333,"Jana"
"2020-01-23 17:13",251533,"Jana"
"2020-01-23 17:16",156986,"Jana"
"2020-01-23 17:20",214147,"Jana"
"2020-01-23 17:24",240746,"Jana"
"2020-01-23 17:27",212613,"Jana"
"2020-01-23 17:31",206253,"Jana"
"2020-01-23 17:31",32957,"Jana"
"2020-01-23 19:49",23994,"Jana"
"2020-01-23 19:49",15096,"Jana"
"2020-01-23 20:23",18674,"Jana"
"2020-01-23 20:25",102198,"Jana"
"2020-01-23 20:29",213452,"Jana"
"2020-01-23 20:32",194680,"Jana"
"2020-01-23 20:36",248948,"Jana"
"2020-01-23 20:40",230180,"Jana"
"2020-01-23 20:45",277188,"Jana"
"2020-01-23 20:50",340944,"Jana"
"2020-01-23 20:57",394681,"Jana"
"2020-01-23 21:00",185947,"Jana"
"2020-01-23 21:04",234940,"Jana"
"2020-01-23 21:13",544431,"Jana"
"2020-01-23 21:17",231961,"Jana"
"2020-01-23 21:20",215702,"Jana"
"2020-01-23 21:27",420189,"Jana"
"2020-01-23 21:33",315931,"Jana"
"2020-01-23 21:36",186437,"Jana"
"2020-01-23 21:38",153677,"Jana"
"2020-01-23 21:40",123942,"Jana"
"2020-01-23 21:45",254505,"Jana"
"2020-01-23 21:48",208940,"Jana"
"2020-01-23 21:52",237692,"Jana"
"2020-01-23 21:56",235184,"Jana"
"2020-01-23 21:57",40680,"Jana"
"2020-01-23 22:00",215927,"Jana"
"2020-01-23 22:04",206444,"Jana"
"2020-01-23 22:07",202192,"Jana"
"2020-01-23 22:11",233947,"Jana"
"2020-01-23 22:20",541439,"Jana"
"2020-01-23 22:24",14209,"Jana"
"2020-01-23 22:24",215931,"Jana"
"2020-01-23 22:28",214426,"Jana"
"2020-01-23 22:33",323667,"Jana"
"2020-01-23 22:38",311917,"Jana"
"2020-01-23 22:45",416935,"Jana"
"2020-01-23 22:49",226247,"Jana"
"2020-01-23 22:53",226452,"Jana"
"2020-01-23 22:55",149692,"Jana"
"2020-01-23 22:59",243182,"Jana"
"2020-01-23 23:04",268688,"Jana"
"2020-01-23 23:06",164440,"Jana"
"2020-01-24 08:50",1797248,"Jana"
"2020-01-24 11:02",1308932,"Jana"
"2020-01-24 23:53",39752,"Jana"
"2020-01-24 23:53",7616,"Jana"
"2020-01-25 00:14",1231233,"Jana"
"2020-01-25 11:22",1742355,"Jana"
"2020-01-25 11:30",0,"Jana"
"2020-01-25 11:31",65085,"Jana"
"2020-01-25 11:34",208700,"Jana"
"2020-01-25 11:53",6130,"Jana"
"2020-01-25 11:56",201906,"Jana"
"2020-01-25 11:59",189480,"Jana"
"2020-01-25 12:01",98902,"Jana"
"2020-01-25 23:56",38057,"Jana"
"2020-01-26 00:09",566845,"Jana"
"2020-01-26 10:30",1463232,"Jana"
"2020-01-26 11:46",1743104,"Jana"
"2020-01-26 13:55",2068659,"Jana"
"2020-01-26 14:07",13955,"Jana"
"2020-01-26 16:15",4079583,"Jana"
"2020-01-26 16:20",1653,"Jana"
"2020-01-26 17:53",1525695,"Jana"
"2020-01-27 09:50",2267129,"Jana"
"2020-01-27 09:51",19669,"Jana"
"2020-01-27 10:53",2406634,"Jana"
"2020-01-27 11:26",333240,"Jana"
"2020-01-27 11:29",179484,"Jana"
"2020-01-27 11:34",247643,"Jana"
"2020-01-27 11:38",289720,"Jana"
"2020-01-27 11:42",218719,"Jana"
"2020-01-27 11:47",289600,"Jana"
"2020-01-27 11:50",201053,"Jana"
"2020-01-27 11:54",199840,"Jana"
"2020-01-27 11:58",239076,"Jana"
"2020-01-27 12:00",147787,"Jana"
"2020-01-27 12:02",46229,"Jana"
"2020-01-27 12:02",85656,"Jana"
"2020-01-27 12:06",200200,"Jana"
"2020-01-27 12:09",217306,"Jana"
"2020-01-27 12:16",381040,"Jana"
"2020-01-27 12:20",289213,"Jana"
"2020-01-27 13:20",256207,"Jana"
"2020-01-27 13:24",233413,"Jana"
"2020-01-27 13:28",297478,"Jana"
"2020-01-27 13:34",317720,"Jana"
"2020-01-27 13:38",211807,"Jana"
"2020-01-27 13:42",243659,"Jana"
"2020-01-27 13:44",151626,"Jana"
"2020-01-27 13:50",360360,"Jana"
"2020-01-27 13:56",326606,"Jana"
"2020-01-27 13:59",199563,"Jana"
"2020-01-27 14:01",10279,"Jana"
"2020-01-27 14:04",151626,"Jana"
"2020-01-27 14:09",289213,"Jana"
"2020-01-27 14:12",3840,"Jana"
"2020-01-27 14:12",13162,"Jana"
"2020-01-27 14:14",12213,"Jana"
"2020-01-27 14:14",0,"Jana"
"2020-01-27 14:19",289213,"Jana"
